Genome_ID,SRA_Accession,amikacin,amoxicillin,bedaquiline,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic acid,prothionamide,pyrazinamide,rifabutin,rifampin,streptomycin
1773.5743,SRR2099935,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA
1773.18422,ERR1035178,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,S,NA,S,R
1773.23422,ERR2120277,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.31048,ERS1987026,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31088,ERS1987077,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31324,ERS1987326,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31337,ERS1987340,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.31358,ERS1987366,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.31637,ERS2394793,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3172,ERS2394919,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.32342,ERS5281264,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.33271,ERS5282486,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,S
1773.33273,ERS5282520,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,S
1773.33591,ERS5297878,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.3364,ERS5297955,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.33655,ERS5297976,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.33664,ERS5297989,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.33791,ERS5298122,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.33806,ERS5298141,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.33808,ERS5298139,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.33816,ERS5298147,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.34025,ERS5298530,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.34485,ERS5300747,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.34939,ERS5302053,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.35031,ERS5302191,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35033,ERS5302193,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35382,ERS5302619,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35393,ERS5302632,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.35822,ERS5303226,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.35934,ERS5303428,S,NA,NA,S,NA,NA,NA,NA,S,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.36297,ERS5304103,R,NA,NA,R,NA,NA,NA,NA,S,NA,R,R,NA,NA,NA,S,NA,NA,NA,NA,S,R
1773.36467,ERS5312360,S,NA,NA,S,NA,NA,NA,NA,S,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,R,R
1773.37747,ERS5319176,S,NA,NA,S,NA,NA,NA,NA,R,NA,R,S,NA,NA,NA,S,NA,NA,NA,NA,S,R
